No	스타일	스타일명	구분	영업 In	원단도착 마지노선 (봉제90일/60일)	원단출고일(소재확인)	원단도착(해상)	원단도착(AIR)	확보 봉제시간(해상)	확보 봉제시간(AIR)	표준 봉제 90일 기준	단축 봉제 60일 기준	판정	요청/조치	생산처	생산담당
11	JKJJS27132	춘절 여성 OCTA 인슐레이션 재킷	봄	01월2주	09/26 / 10/26	12/12	12/27	12/15	-2일	10일	80일 부족	50일 부족	◼ 불가 — 봉제시간 부족	AIR로 당겨도 봉제 10일뿐 — 60일 단축 기준으로도 50일 부족, 입점 02/27(60일 봉제)~03/29(표준) 이후로 조정 협의 요청	원전	정병우
12	JWJJS27131	남성 OCTA 인슐레이션 재킷	봄	01월2주	09/26 / 10/26	12/12	12/27	12/15	-2일	10일	80일 부족	50일 부족	◼ 불가 — 봉제시간 부족	AIR로 당겨도 봉제 10일뿐 — 60일 단축 기준으로도 50일 부족, 입점 02/27(60일 봉제)~03/29(표준) 이후로 조정 협의 요청	원전	정병우
13	JWVAS27131	남성 OCTA 인슐레이션 베스트	봄	01월2주	09/26 / 10/26	12/12	12/27	12/15	-2일	10일	80일 부족	50일 부족	◼ 불가 — 봉제시간 부족	AIR로 당겨도 봉제 10일뿐 — 60일 단축 기준으로도 50일 부족, 입점 02/27(60일 봉제)~03/29(표준) 이후로 조정 협의 요청	원전	정병우
14	TVJJS27552	춘절 여성 키퍼 중기장 벨티드 재킷	봄	01/15(트래커)	10/03 / 11/02	10/10	10/25	10/13	68일	80일	10일 부족	충분	△ AIR + 단축봉제(60일) 시 가능	AIR 전환 + 봉제 60일 단축 진행 시 가능 (확보 80일, 표준 90일 대비 10일 부족) — 생산처 단축 협의 필요	아이블	황문영
15	TVJJS27562	춘절 여성 키퍼 넥리스 재킷	봄	01/15(트래커)	10/03 / 11/02	10/10	10/25	10/13	68일	80일	10일 부족	충분	△ AIR + 단축봉제(60일) 시 가능	AIR 전환 + 봉제 60일 단축 진행 시 가능 (확보 80일, 표준 90일 대비 10일 부족) — 생산처 단축 협의 필요	아이블	황문영
16	JKJJS27032	히어로 여성 옥타 플리스 재킷	봄	01/22(트래커)	10/10 / 11/09	10/30	11/14	11/02	55일	67일	23일 부족	충분	△ AIR + 단축봉제(60일) 시 가능	AIR 전환 + 봉제 60일 단축 진행 시 가능 (확보 67일, 표준 90일 대비 23일 부족) — 생산처 단축 협의 필요	태화	이상엽
17	JWJJS27031	히어로 남성 옥타 플리스 재킷	봄	01/22(트래커)	10/10 / 11/09	10/30	11/14	11/02	55일	67일	23일 부족	충분	△ AIR + 단축봉제(60일) 시 가능	AIR 전환 + 봉제 60일 단축 진행 시 가능 (확보 67일, 표준 90일 대비 23일 부족) — 생산처 단축 협의 필요	태화	김동철
18	TVJJS27512	춘절 여성 중기장 방풍 재킷	봄	01월4주	10/10 / 11/09	10/30	11/14	11/02	55일	67일	23일 부족	충분	△ AIR + 단축봉제(60일) 시 가능	AIR 전환 + 봉제 60일 단축 진행 시 가능 (확보 67일, 표준 90일 대비 23일 부족) — 생산처 단축 협의 필요	아이블	황문영
19	JWTBS27117	남성 퀵드라이 바라클라바 긴팔 후드 티셔츠	봄	01월4주	10/10 / 11/09	10/30	11/14	11/02	55일	67일	23일 부족	충분	△ AIR + 단축봉제(60일) 시 가능	AIR 전환 + 봉제 60일 단축 진행 시 가능 (확보 67일, 표준 90일 대비 23일 부족) — 생산처 단축 협의 필요	IKG	박성실
20	JWJJS27135	남성 WIGO 방풍 재킷 (SET UP)	봄	02월2주	10/27 / 11/26	10/31	11/15	11/03	71일	83일	7일 부족	충분	△ AIR + 단축봉제(60일) 시 가능	AIR 전환 + 봉제 60일 단축 진행 시 가능 (확보 83일, 표준 90일 대비 7일 부족) — 생산처 단축 협의 필요	원전	정병우
21	JWTBS27111	남성 하이브리드 긴팔 집업 티셔츠	봄	02월3주	11/03 / 12/03	10/31	11/15	11/03	78일	90일	충분	충분	▲ AIR 전환 시 가능	AIR 전환 시 봉제 90일 확보 — 일정 유지 가능 (해상은 12일 부족)	IKG	박성실
22	JKTBS27116	춘절 여성 후드 티셔츠	봄	02월3주	11/03 / 12/03	10/30	11/14	11/02	79일	91일	충분	충분	▲ AIR 전환 시 가능	AIR 전환 시 봉제 91일 확보 — 일정 유지 가능 (해상은 11일 부족)	IKG	박성실
23	TVJJS27502	춘절 여성 논퀼팅 인슐레이션 재킷	봄	02월4주	11/10 / 12/10	10/30	11/14	11/02	86일	98일	충분	충분	▲ AIR 전환 시 가능	AIR 전환 시 봉제 98일 확보 — 일정 유지 가능 (해상은 4일 부족)	아이블	황문영
24	TLTBS27511	남성 베이직 폴로 긴팔 티셔츠	봄	01/08(트래커)	09/26 / 10/26						판정 불가	판정 불가	● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	TESSELLATION	정병우
25	8NLAS27101	[WM] 남녀공용 프린트 양말	봄·BLUE(피싱)	01월2주	09/26 / 10/26						판정 불가	판정 불가	● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	건우	박성실
26	8NRES27104	[WM] 남녀공용 쉐이드 캠프 캡	봄·BLUE(피싱)	01월2주	09/26 / 10/26						판정 불가	판정 불가	● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	피앤지	박성실
27	TVTBS27592	춘절 여성 니트 폴로 긴팔 티셔츠	봄	01월3주	10/03 / 11/02						판정 불가	판정 불가	● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	어필코리아	이상엽
28	8NRFS27101	[WM] 남녀공용 그리드 매쉬 햇	봄·BLUE(피싱)	01월5주	10/17 / 11/16						판정 불가	판정 불가	● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	피앤지	박성실
29	8NRFS27103	[WM] 남녀공용 쉐이드 버킷 햇	봄·BLUE(피싱)	01월5주	10/17 / 11/16						판정 불가	판정 불가	● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	피앤지	박성실
30	8UJJS27101	[WM] 남녀공용 익스퍼트 소프트쉘 재킷	봄·BLUE(피싱)	01월5주	10/17 / 11/16						판정 불가	판정 불가	● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	원전	미지정
31	TVPNS27902	유통특화_사계절 여성 세미 부츠컷 데님 팬츠	봄	02/01(트래커)	10/20 / 11/19						판정 불가	판정 불가	● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	스코브	황상아
32	TLPNS27901	유통특화_사계절 남성 레귤러핏 데님 팬츠	봄	02/08(트래커)	10/27 / 11/26						판정 불가	판정 불가	● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	스코브	황상아
33	8NHAS27101	[WM] 남녀공용 3지 익스퍼트 장갑	봄·BLUE(피싱)	02월1주	10/20 / 11/19						판정 불가	판정 불가	● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	시즈	박성실
34	8NRFS27102	[WM] 남녀공용 패커블 립스탑 햇	봄·BLUE(피싱)	02월1주	10/20 / 11/19						판정 불가	판정 불가	● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	피앤지	박성실
35	8UPNS27102	[WM] 남녀공용 익스퍼트 소프트쉘 팬츠	봄·BLUE(피싱)	02월2주	10/27 / 11/26						판정 불가	판정 불가	● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	원전	미지정
36	TLTBS27571	춘절 남성 니트 폴로 긴팔 티셔츠	봄	02월3주	11/03 / 12/03						판정 불가	판정 불가	● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	어필코리아	이상엽
37	TVJJS27542	춘절 여성 소프트안감 칼라드 재킷	봄	02월4주	11/10 / 12/10						판정 불가	판정 불가	● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	원전	황문영
38	JWTBS27103	남성 베이직 긴팔 라운드 티셔츠	봄	04/01(트래커)	12/18 / 01/17						판정 불가	판정 불가	● 원단 출고일 미협의 — 즉시 확인	원단 출고일 미협의 — 소재팀 확인 중, 확정 즉시 회신	IKG	미지정
39	JWVAS27109	남성 유틸리티 스탠드넥 베스트	봄	04/01(트래커)	12/18 / 01/17	09/30	10/15	10/03	154일	166일	충분	충분	○ 가능(해상)	일정 유지 가능	아이블	정병우
40	JWVAS27907	유통특화_남성 유틸리티 V넥 베스트	봄	04/01(트래커)	12/18 / 01/17	09/30	10/15	10/03	154일	166일	충분	충분	○ 가능(해상)	일정 유지 가능	아이블	황문영
